gene_id,NC-1_FPKM,NC-2_FPKM,NC-3_FPKM,si-hnrnpa2b1-1_FPKM,si-hnrnpa2b1-2_FPKM,si-hnrnpa2b1-3_FPKM,NC-1_count,NC-2_count,NC-3_count,si-hnrnpa2b1-1_count,si-hnrnpa2b1-2_count,si-hnrnpa2b1-3_count
ENSRNOG00000013271,25.77815928,26.15333556,25.5661515,21.67192008,23.81270271,24.26876,1351,1304,1406,1230,1306,1330
ENSRNOG00000013279,0.316137913,0.186921911,0.395440172,0.091223216,0.283227558,0.302327258,16,9,21,5,15,16
ENSRNOG00000053329,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000005059,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000002229,0.806666096,0.662913351,0.852594062,0.785518227,0.840909185,0.785455251,55,43,61,58,60,56
ENSRNOG00000002227,0.456615034,0.414084143,0.418080864,0.355505173,0.316555544,0.35960688,51,44,49,43,37,42
ENSRNOG00000002224,0,0,0,0.050397469,0,0,0,0,0,1,0,0
ENSRNOG00000002225,41.06897447,44.21372569,39.35903612,40.77019477,40.95532437,44.25143575,1239,1269,1246,1332,1293,1396
ENSRNOG00000002223,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000042918,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000053325,0.334817549,0.175926505,0.478447806,0.772714302,0.639792737,0.960294079,2,1,3,5,4,6
ENSRNOG00000014808,11.79213475,12.41095554,11.10716423,10.87495409,10.7304142,11.32060229,775,776,766,774,738,778
ENSRNOG00000042912,5.007775572,5.662546069,5.856920776,4.886990348,4.785362578,5.260642254,264,284,324,279,264,290
ENSRNOG00000042915,22.51693405,20.9785486,22.18976345,23.27333144,22.25039252,21.41084538,176,156,182,197,182,175
ENSRNOG00000042916,36.42806602,40.87754515,44.2736152,51.65047374,40.92541481,41.89807255,592,632,755,909,696,712
ENSRNOG00000046533,166.9180258,151.8851086,162.2230468,155.7212941,159.1121131,158.7425148,6507,5633,6636,6574,6491,6471
ENSRNOG00000005943,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000005947,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000005944,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000005053,38.65989253,40.21156906,37.46777178,34.69638677,35.25370475,33.17962753,1531,1515,1557,1488,1461,1374
ENSRNOG00000030012,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000030016,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000030017,3.647857776,4.03025627,3.489020059,3.128748218,3.791164647,3.405728102,548,576,550,509,596,535
ENSRNOG00000030018,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000030019,183.0564678,176.7039529,191.079303,175.3775608,175.8980797,181.008434,9357,8593,10249,9708,9409,9675
ENSRNOG00000057801,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000057802,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000057803,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000057804,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000057805,0.539005524,0,0,0,0,0,1,0,0,0,0,0
ENSRNOG00000057806,24.94313943,24.34175814,25.56745258,20.96635281,22.5498013,22.83146613,1984,1842,2134,1806,1877,1899
